season,home_team,away_team,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
2012,DEN,LAL,Al Harrington,Andre Miller,Danilo Gallinari,Rudy Fernandez,Timofey Mozgov,Andrew Bynum,Jason Kapono,Metta World Peace,Steve Blake,Troy Murphy,-1
2012,DEN,LAL,Al Harrington,Andre Miller,Chris Andersen,Danilo Gallinari,Rudy Fernandez,Andrew Bynum,Jason Kapono,Metta World Peace,Steve Blake,Troy Murphy,-1
2012,DEN,LAL,Andre Miller,Arron Afflalo,Chris Andersen,Nene Hilario,Rudy Fernandez,Andrew Bynum,Jason Kapono,Metta World Peace,Steve Blake,Troy Murphy,-1
2012,DEN,LAL,Andre Miller,Arron Afflalo,Chris Andersen,Nene Hilario,Rudy Fernandez,Josh McRoberts,Kobe Bryant,Matt Barnes,Pau Gasol,Steve Blake,1
2012,DEN,LAL,Andre Miller,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,Josh McRoberts,Kobe Bryant,Matt Barnes,Pau Gasol,Steve Blake,-1
2012,DEN,LAL,Andre Miller,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,Andrew Bynum,Derek Fisher,Kobe Bryant,Metta World Peace,Pau Gasol,-1
2012,DEN,LAL,Al Harrington,Andre Miller,Danilo Gallinari,Nene Hilario,Ty Lawson,Andrew Bynum,Derek Fisher,Kobe Bryant,Metta World Peace,Pau Gasol,1
2012,DEN,LAL,Al Harrington,Andre Miller,Danilo Gallinari,Nene Hilario,Ty Lawson,Andrew Bynum,Kobe Bryant,Metta World Peace,Pau Gasol,Steve Blake,1
2012,DEN,MIL,Arron Afflalo,Danilo Gallinari,Kosta Koufos,Timofey Mozgov,Ty Lawson,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Stephen Jackson,-1
2012,DEN,MIL,Al Harrington,Arron Afflalo,Chris Andersen,Danilo Gallinari,Ty Lawson,Brandon Jennings,Carlos Delfino,Drew Gooden,Jon Leuer,Stephen Jackson,-1
2012,DEN,MIL,Al Harrington,Andre Miller,Chris Andersen,Rudy Fernandez,Ty Lawson,Beno Udrih,Drew Gooden,Jon Leuer,Shaun Livingston,Stephen Jackson,-1
2012,DEN,MIL,Al Harrington,Andre Miller,Chris Andersen,Corey Brewer,Rudy Fernandez,Beno Udrih,Carlos Delfino,Drew Gooden,Luc Mbah a Moute,Shaun Livingston,1
2012,DEN,MIL,Al Harrington,Andre Miller,Chris Andersen,Corey Brewer,Rudy Fernandez,Andrew Bogut,Beno Udrih,Carlos Delfino,Luc Mbah a Moute,Shaun Livingston,-1
2012,DEN,MIL,Al Harrington,Andre Miller,Arron Afflalo,Rudy Fernandez,Timofey Mozgov,Andrew Bogut,Beno Udrih,Carlos Delfino,Luc Mbah a Moute,Shaun Livingston,-1
2012,DEN,MIL,Andre Miller,Arron Afflalo,Danilo Gallinari,Rudy Fernandez,Timofey Mozgov,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Shaun Livingston,-1
2012,DEN,MIL,Arron Afflalo,Danilo Gallinari,Kosta Koufos,Rudy Fernandez,Ty Lawson,Brandon Jennings,Carlos Delfino,Jon Leuer,Luc Mbah a Moute,Stephen Jackson,1
2012,DEN,MIL,Arron Afflalo,Corey Brewer,Danilo Gallinari,Kosta Koufos,Ty Lawson,Brandon Jennings,Carlos Delfino,Jon Leuer,Luc Mbah a Moute,Stephen Jackson,1
2012,DEN,MIL,Arron Afflalo,Corey Brewer,Danilo Gallinari,Kosta Koufos,Ty Lawson,Beno Udrih,Carlos Delfino,Jon Leuer,Larry Sanders,Stephen Jackson,-1
2012,DEN,MIL,Andre Miller,Corey Brewer,Danilo Gallinari,Kosta Koufos,Ty Lawson,Beno Udrih,Carlos Delfino,Jon Leuer,Larry Sanders,Stephen Jackson,-1
2012,DEN,MIL,Arron Afflalo,Danilo Gallinari,Kosta Koufos,Timofey Mozgov,Ty Lawson,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Stephen Jackson,-1
2012,DEN,MIL,Al Harrington,Arron Afflalo,Danilo Gallinari,Kosta Koufos,Ty Lawson,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Stephen Jackson,1
2012,DEN,MIL,Al Harrington,Arron Afflalo,Danilo Gallinari,Kosta Koufos,Ty Lawson,Andrew Bogut,Beno Udrih,Brandon Jennings,Ersan Ilyasova,Stephen Jackson,-1
2012,DEN,MIL,Al Harrington,Andre Miller,Chris Andersen,Danilo Gallinari,Ty Lawson,Andrew Bogut,Beno Udrih,Brandon Jennings,Ersan Ilyasova,Stephen Jackson,-1
2012,DEN,MIL,Al Harrington,Andre Miller,Chris Andersen,Danilo Gallinari,Rudy Fernandez,Andrew Bogut,Brandon Jennings,Carlos Delfino,Luc Mbah a Moute,Stephen Jackson,-1
2012,DEN,MIL,Al Harrington,Andre Miller,Chris Andersen,Corey Brewer,Rudy Fernandez,Andrew Bogut,Brandon Jennings,Carlos Delfino,Luc Mbah a Moute,Stephen Jackson,-1
2012,DEN,MIL,Al Harrington,Andre Miller,Chris Andersen,Corey Brewer,Rudy Fernandez,Brandon Jennings,Carlos Delfino,Jon Leuer,Luc Mbah a Moute,Stephen Jackson,1
2012,DEN,MIL,Al Harrington,Andre Miller,Chris Andersen,Corey Brewer,Rudy Fernandez,Brandon Jennings,Carlos Delfino,Jon Leuer,Luc Mbah a Moute,Shaun Livingston,-1
2012,DEN,MIL,Al Harrington,Andre Miller,Corey Brewer,Danilo Gallinari,Rudy Fernandez,Brandon Jennings,Carlos Delfino,Jon Leuer,Luc Mbah a Moute,Shaun Livingston,-1
