season,team,player_0,player_1,player_2,player_3,target_player
7,12,688,48,645,379,677
7,12,677,48,645,379,688
7,12,677,688,645,379,48
7,12,677,688,48,379,645
7,12,677,688,48,645,379
7,12,677,734,688,573,888
7,12,888,734,688,573,677
7,12,888,677,688,573,734
7,12,888,677,734,573,688
7,12,888,677,734,688,573
7,12,677,734,729,645,888
7,12,888,734,729,645,677
7,12,888,677,729,645,734
7,12,888,677,734,645,729
7,12,888,677,734,729,645
7,12,48,645,718,379,729
7,12,729,645,718,379,48
7,12,729,48,718,379,645
7,12,729,48,645,379,718
7,12,729,48,645,718,379
7,12,677,734,729,718,888
7,12,888,734,729,718,677
7,12,888,677,729,718,734
7,12,888,677,734,718,729
7,12,888,677,734,729,718
7,2,121,545,213,931,669
7,2,669,545,213,931,121
7,2,669,121,213,931,545
7,2,669,121,545,931,213
7,2,669,121,545,213,931
7,2,605,213,931,370,68
7,2,68,213,931,370,605
7,2,68,605,931,370,213
7,2,68,605,213,370,931
7,2,68,605,213,931,370
7,2,605,213,931,370,68
7,2,68,213,931,370,605
7,2,68,605,931,370,213
7,2,68,605,213,370,931
7,2,68,605,213,931,370
7,2,121,545,213,931,669
7,2,669,545,213,931,121
7,2,669,121,213,931,545
7,2,669,121,545,931,213
7,2,669,121,545,213,931
7,2,121,605,545,213,669
7,2,669,605,545,213,121
7,2,669,121,545,213,605
7,2,669,121,605,213,545
7,2,669,121,605,545,213
7,2,121,605,545,213,669
7,2,669,605,545,213,121
7,2,669,121,545,213,605
7,2,669,121,605,213,545
7,2,669,121,605,545,213
7,2,669,605,213,931,68
7,2,68,605,213,931,669
7,2,68,669,213,931,605
7,2,68,669,605,931,213
7,2,68,669,605,213,931
7,2,605,213,931,370,68
7,2,68,213,931,370,605
7,2,68,605,931,370,213
7,2,68,605,213,370,931
7,2,68,605,213,931,370
7,2,605,545,213,931,68
7,2,68,545,213,931,605
7,2,68,605,213,931,545
7,2,68,605,545,931,213
7,2,68,605,545,213,931
7,2,121,605,545,213,669
7,2,669,605,545,213,121
7,2,669,121,545,213,605
7,2,669,121,605,213,545
7,2,669,121,605,545,213
7,26,609,631,156,326,468
7,26,468,631,156,326,609
7,26,468,609,156,326,631
7,26,468,609,631,326,156
7,26,468,609,631,156,326
7,26,631,317,326,798,93
7,26,93,317,326,798,631
7,26,93,631,326,798,317
7,26,93,631,317,798,326
7,26,93,631,317,326,798
7,26,93,317,326,798,559
7,26,559,317,326,798,93
7,26,559,93,326,798,317
7,26,559,93,317,798,326
7,26,559,93,317,326,798
7,26,631,156,317,326,93
7,26,93,156,317,326,631
7,26,93,631,317,326,156
7,26,93,631,156,326,317
7,26,93,631,156,317,326
7,26,631,156,317,326,93
7,26,93,156,317,326,631
7,26,93,631,317,326,156
7,26,93,631,156,326,317
7,26,93,631,156,317,326
7,26,93,631,317,326,468
7,26,468,631,317,326,93
7,26,468,93,317,326,631
7,26,468,93,631,326,317
7,26,468,93,631,317,326
7,26,609,93,631,798,468
7,26,468,93,631,798,609
7,26,468,609,631,798,93
7,26,468,609,93,798,631
7,26,468,609,93,631,798
7,26,93,317,326,798,559
7,26,559,317,326,798,93
7,26,559,93,326,798,317
7,26,559,93,317,798,326
7,26,559,93,317,326,798
7,26,156,317,326,798,468
7,26,468,317,326,798,156
7,26,468,156,326,798,317
7,26,468,156,317,798,326
7,26,468,156,317,326,798
7,26,609,156,326,798,468
7,26,468,156,326,798,609
7,26,468,609,326,798,156
7,26,468,609,156,798,326
7,26,468,609,156,326,798
7,17,251,921,711,427,665
7,17,665,921,711,427,251
7,17,665,251,711,427,921
7,17,665,251,921,427,711
7,17,665,251,921,711,427
7,17,771,251,921,711,665
7,17,665,251,921,711,771
7,17,665,771,921,711,251
7,17,665,771,251,711,921
7,17,665,771,251,921,711
7,17,567,485,711,427,555
7,17,555,485,711,427,567
7,17,555,567,711,427,485
7,17,555,567,485,427,711
7,17,555,567,485,711,427
7,17,567,485,251,711,771
7,17,771,485,251,711,567
7,17,771,567,251,711,485
7,17,771,567,485,711,251
7,17,771,567,485,251,711
7,17,771,485,711,427,555
7,17,555,485,711,427,771
7,17,555,771,711,427,485
7,17,555,771,485,427,711
7,17,555,771,485,711,427
7,17,555,771,921,711,890
7,17,890,771,921,711,555
7,17,890,555,921,711,771
7,17,890,555,771,711,921
7,17,890,555,771,921,711
7,22,817,26,743,807,77
7,22,77,26,743,807,817
7,22,77,817,743,807,26
7,22,77,817,26,807,743
7,22,77,817,26,743,807
7,22,817,603,26,743,77
7,22,77,603,26,743,817
